store	itemCode	description	dailyUsage	buildTo	stockOnHand	stockOnOrder	orderQty	unit	onHandSource	buildToSource
3808	10008418	DRINK JUICE APPLE SPRING VALLEY	0.0586	0.5857	1.0556	0	0	CARTON-18	report	default
3808	100457	SAUCE FIRE 10X1KG	0.0786	0.7857	1.8	0	0	CARTON-10x1KG	report	catalog-days
3808	106191	SAUCE CARAMEL MONIN 1.89L	0.0143	0.1429	0.94	0	0	CARTON-4x1.89L	report	catalog-days
3808	13529	TRAYS DRINKS 4 CUP	0.1043	1.0429	2	0	0	CARTON-100	report	default
3808	33090	CUP POSTMIX REGULAR	0.1129	1.1286	1.5	0	0	CARTON-1000	report	default
3808	33091	CUP POSTMIX LARGE	0.05	0.5	1.9	0	0	CARTON-1000	report	default
3808	3478	DRINK PEPSI MAX BIB 10L	0.1943	6	22	0	0	CARTON-10L	report	catalog-fixed
3808	37378	CUP FCB 590 ML CH	0.0071	0.0714	1	0	0	CARTON-1000	report	default
3808	37380	LID FCB DOME 590 ML CH	0.0071	0.0714	1	0	0	CARTON-1000	report	default
3808	37870	SAUCE CHILLI MILD	0.2014	2.0143	2.3	0	0	CARTON-10x1KG	report	catalog-days
3808	37893	BAG CRUNCHWRAP	0.0629	0.6286	1.875	0	0	CARTON-2000	report	default
3808	37901	WRAP LARGE WHITE PRINTED	0.1129	1.1286	2	0	0	CARTON-3000	report	default
3808	37911	CHEESE CHEDD ANGEL HAIR/ S'FINE SHRED	0.2214	2.2143	1.5333	1	0	CARTON-6x2KG	report	catalog-days
3808	37921	WRAP SMALL WHITE PRINTED	0.0571	0.5714	0.6	0	0	CARTON-3000	report	default
3808	37987	BAG TAKEAWAY BROWN SMALL	0.0671	0.6714	0.5	1	0	CARTON-1000	report	default
3808	37989	BAG TAKEAWAY BROWN MEDIUM	0.2643	2.6429	2.7	0	0	CARTON-1000	report	default
3808	37993	BAG CHIPS REGULAR	0.06	0.6	1.0833	0	0	CARTON-3000	report	default
3808	37995	BAG CHIPS LARGE	0.0386	0.3857	1.9167	0	0	CARTON-3000	report	default
3808	37999	WRAP WASTE WHITE UNPRINTED	0.1186	1.1857	1.8	0	0	CARTON-5x1000	report	default
3808	38163	SAUCE CHOCOLATE DA VINCI	0.0686	0.6857	3.6	0	0	CARTON-3x2L	report	catalog-days
3808	38414	SAUCE ZESTY RANCH 1	0.3271	3.2714	2.2333	2	0	CARTON-15x1KG	report	catalog-days
3808	38493	SAUCE CHIPOTLE MAYO 1	0.2457	2.4571	2.0667	1	0	CARTON-15x1KG	report	catalog-days
3808	38722	SAUCE CREAMY JALAPENO	0.1243	1.2429	0.6	1	0	CARTON-10x1KG	report	catalog-days
3808	3912	DRINK PEPSI POST MIX	0.4971	4	45	0	0	CARTON-15L	report	catalog-fixed
3808	3939	DRINK 7UP BIB 15L	0.03	3	46.5	0	0	CARTON-15L	report	catalog-fixed
3808	39744	DIPPING CUP 60ML	0.1857	1.8571	1.25	1	0	CARTON-1000	report	default
3808	39746	LID CLEAR 60ML DIPPING CUP	0.1857	1.8571	1.55	1	0	CARTON-1000	report	default
3808	40003	JALAPENO	0.01	0.1	1	0	0	CARTON-6x2.3KG	report	catalog-days
3808	40037	SUGAR CINNAMON 5KG	0.0143	0.1429	0.4	0	0	CARTON-5x2.5KG	report	catalog-days
3808	4068	DRINK SOLO LEMON BIB 15L	0.0257	3	36	0	0	CARTON-15L	report	catalog-fixed
3808	4075	DRINK SUNKIST ORANGE BIB 15L	0.0214	3	30	0	0	CARTON-15L	report	catalog-fixed
3808	4091	DRINK FCB FREEZE TRAD RASPBERRY 10L	0.0171	1	7	0	0	CARTON-10L	report	catalog-fixed
3808	4095	DRINK FCB FREEZE PEPSI 10L	0.0114	1	6	0	0	CARTON-10L	report	catalog-fixed
3811	38358	TB MEXICAN RICE (FINISHED PRODUCT)	8593.4286	85934.2857	0	0	85935	GRAM-1GM	missing	default
3811	38360	TB GUACAMOLE (FINISHED PRODUCT)	3371.6143	33716.1429	0	0	33717	GRAM-1GM	missing	default
3811	38377	TB TOMATO DICED (FINISHED PRODUCT)	2228	15596	0	0	15596	GRAM-1GM	missing	default
3811	38372	TB TACO SHELLS (FINISHED PRODUCT)	231.4286	2314.2857	0	0	2315	EACH	report	default
3811	38295	TB TOSTADA (FINISHED PRODUCT)	118.2857	1182.8571	0	0	1183	EACH	missing	default
3811	40109	FRIES SURECRISP	5.4043	70.2557	28.3333	0	42	CARTON-6x2KG	report	catalog-days
3811	39867A	MEAT CHICKEN COOKED	2.5314	25.3143	0.0062	0	26	CARTON-10X600GM	report	catalog-days
3811	38362	TB FIESTA SALSA (FINISHED PRODUCT)	2.3929	23.9286	0	0	24	KG	missing	default
3811	37923	TORTILLA FLOUR 10.25INCH	1.5271	19.8529	6	0	14	CARTON-12x12	report	catalog-days
3811	39520	MEAT BEEF COOKED	1.7286	22.4714	9.8338	0	13	CARTON-8x1.85KG	report	catalog-days
3811	37925	TORTILLA FLOUR 12INCH	1.1029	14.3371	4.9167	0	10	CARTON-12x12	report	catalog-days
3811	7759	DRINK DARE ICED COFFEE DOUBLE	0.8571	8.5714	0	0	9	EACH	report	catalog-days
3811	8419	CREAM SOUR LIGHT	1.0871	10.8714	2.4	0	9	EACH-5KG	report	catalog-days
3811	DTOM4	TOMATO DICED	1.4786	10.35	1.625	0	9	CARTON-4x1KG	report	catalog-days
3811	39009	CHIP NACHO CORN	0.8757	11.3843	4	0	8	CARTON-4.5KG	report	default
3811	SLETT	LETTUCE SHREDDED	1.12	9.84	2.2	0	8	CARTON-4X2.5KG	report	catalog-days
3811	37891	TORTILLA CORN 6 INCH	0.8086	10.5114	3.875	0	7	CARTON-12x36	report	catalog-days
3811	37909	SAUCE NACHO CHEESE	0.9014	9.0143	2.5167	0	7	CARTON-6x1.8KG	report	catalog-days
3811	38240	BEANS BLACK COOKED	0.8257	8.2571	2.25	0	7	CARTON-12x1KG	report	catalog-days
3811	10004423	DRINK PEPSI MAX CAN	0.4086	5.3114	1.6667	0	4	CARTON-30	report	catalog-days
3811	10006282	DRINK WATER 600ML PET	0.3414	4.4386	0.9583	0	4	CARTON-24	report	catalog-days
3811	37915	RICE LONG GRAIN WHITE	0.5143	5.1429	2.05	0	4	BAG-10KG	report	catalog-days
3811	40255	CHEESE BLEND MOZZ/CHEDD (PIZZA) SHRED	0.4986	4.9857	1.8733	0	4	CARTON-6x2KG	report	catalog-days
3811	40303	CHICKEN CRISPY	0.5586	5.5857	2.1992	0	4	CARTON-6x41	report	catalog-days
3811	CHOPC	SALAD CORIANDER CHOPPED	0.43	3.01	0.0018	0	4	BAG-500GM	report	catalog-days
3811	37927	TORTILLA FLOUR 6.5INCH	0.3557	4.6243	1.7917	0	3	CARTON-24x12	report	catalog-days
3811	37928	FLATBREAD	0.6629	6.6286	3.6667	0	3	CARTON-24X6	report	catalog-days
3811	38493	SAUCE CHIPOTLE MAYO 1	0.2971	2.9714	0.95	0	3	CARTON-15x1KG	report	catalog-days
3811	10004425	DRINK SOLO CAN	0.1414	1.8386	0.1333	0	2	CARTON-30	report	catalog-days
3811	10004815	DRINK MOUNTAIN DEW 600ML PET	0.1914	2.4886	1.0417	0	2	CARTON-24	report	catalog-days
3811	10006573	DRINK SUNKIST ORANGE CAN	0.1386	1.8014	0.75	0	2	CARTON-24	report	catalog-days
3811	10006826	DRINK LIPTON ICE TEA PEACH	0.1557	2.0243	0.6667	0	2	CARTON-24	report	catalog-days
3811	10007191	DRINK MOUNTAIN DEW CAN	0.1957	2.5443	1.5	0	2	CARTON-30	report	catalog-days
3811	13529	TRAYS DRINKS 4 CUP	0.1371	1.3714	0.017	0	2	CARTON-100	report	default
3811	3221	DRINK PEPSI 600ML	0.1443	1.8757	0.8333	0	2	CARTON-24	report	catalog-days
3811	3226	DRINK PEPSI MAX 600ML	0.2514	3.2686	1.75	0	2	CARTON-24	report	catalog-days
3811	37597	CHURROS MINI	0.52	5.2	4	0	2	CARTON-72	report	catalog-days
3811	37991	BAG TAKEAWAY BROWN LARGE 2	0.2614	2.6143	1.5	0	2	CARTON-250	report	default
3811	38414	SAUCE ZESTY RANCH 1	0.3771	3.7714	1.9067	0	2	CARTON-15x1KG	report	catalog-days
3811	39054	SEASONING MEXICAN RICE	0.1457	1.4571	0.4	0	2	BAG-10KG	report	catalog-days
3811	39746	LID CLEAR 60ML DIPPING CUP	0.2129	2.1286	0.75	0	2	CARTON-1000	report	default
